ts,epoch,gpu_util,engine_state,engine_jiff,engine_thr
00:35:01,1790181301,36,R,232779,333
00:35:02,1790181302,36,R,232911,333
00:35:03,1790181303,36,R,233042,333
00:35:04,1790181304,36,R,233173,333
00:35:05,1790181305,36,R,233305,333
00:35:06,1790181306,36,R,233436,333
00:35:07,1790181307,36,R,233568,333
00:35:08,1790181308,36,R,233699,333
00:35:09,1790181309,36,R,233830,333
00:35:10,1790181310,36,R,233961,333
00:35:11,1790181311,36,R,234092,333
00:35:12,1790181312,36,R,234222,333
00:35:13,1790181313,36,R,234354,333
00:35:14,1790181314,36,R,234484,333
00:35:15,1790181315,36,R,234616,333
00:35:16,1790181316,36,R,234747,333
00:35:17,1790181317,36,R,234878,333
00:35:18,1790181318,36,R,235009,333
00:35:19,1790181319,36,R,235140,333
00:35:20,1790181320,36,R,235271,333
00:35:21,1790181321,36,R,235402,333
00:35:22,1790181322,36,R,235533,333
00:35:23,1790181323,36,R,235664,333
00:35:24,1790181324,36,R,235795,333
00:35:25,1790181325,36,R,235926,333
00:35:26,1790181326,36,R,236057,333
00:35:27,1790181327,36,R,236188,333
00:35:28,1790181328,36,R,236319,333
00:35:29,1790181329,36,R,236449,333
00:35:30,1790181330,36,R,236581,333
00:35:31,1790181331,36,R,236712,333
00:35:32,1790181332,36,R,236844,333
00:35:33,1790181333,36,R,236974,333
00:35:34,1790181334,36,R,237105,333
00:35:35,1790181335,36,R,237236,333
00:35:36,1790181336,36,R,237367,333
00:35:37,1790181337,36,R,237500,333
00:35:38,1790181338,36,R,237630,333
00:35:39,1790181339,36,R,237763,333
00:35:40,1790181340,36,S,237806,333
00:35:41,1790181341,36,S,237831,333
00:35:42,1790181342,36,S,237860,333
00:35:43,1790181343,36,S,237888,333
00:35:44,1790181344,36,S,237915,333
00:35:45,1790181345,36,S,237940,333
00:35:46,1790181346,36,S,237965,333
00:35:47,1790181347,36,S,237989,333
00:35:48,1790181348,36,S,238012,333
00:35:49,1790181349,36,S,238036,333
00:35:50,1790181350,36,S,238060,333
00:35:51,1790181351,36,S,238083,333
00:35:52,1790181352,36,S,238108,333
00:35:53,1790181353,36,S,238131,333
00:35:54,1790181354,36,S,238156,333
00:35:55,1790181355,36,S,238180,333
00:35:56,1790181356,36,S,238205,333
00:35:57,1790181357,36,S,238230,333
00:35:58,1790181358,36,S,238255,333
00:35:59,1790181359,36,S,238279,333
00:36:00,1790181360,36,S,238304,333
00:36:01,1790181361,36,S,238332,333
00:36:02,1790181362,36,S,238357,333
00:36:03,1790181363,36,S,238382,333
00:36:04,1790181364,36,S,238408,333
00:36:05,1790181365,36,S,238434,333
00:36:06,1790181366,36,S,238459,333
00:36:07,1790181367,36,S,238485,333
00:36:08,1790181368,36,S,238512,333
00:36:09,1790181369,36,S,238536,333
00:36:10,1790181370,36,S,238563,333
00:36:11,1790181371,36,S,238588,333
00:36:12,1790181372,36,S,238613,333
00:36:13,1790181373,36,S,238638,333
00:36:14,1790181374,36,S,238663,333
00:36:15,1790181375,36,S,238689,333
00:36:16,1790181376,36,S,238714,333
00:36:17,1790181377,36,S,238739,333
00:36:18,1790181378,36,S,238764,333
00:36:19,1790181379,36,S,238789,333
00:36:20,1790181380,36,S,238814,333
00:36:21,1790181381,36,S,238840,333
00:36:22,1790181382,36,S,238866,333
00:36:23,1790181383,36,S,238891,333
00:36:24,1790181384,36,S,238916,333
00:36:25,1790181385,36,S,238941,333
00:36:26,1790181386,36,S,238966,333
00:36:27,1790181387,36,S,238992,333
00:36:28,1790181388,36,S,239016,333
00:36:29,1790181389,36,S,239042,333
00:36:30,1790181390,36,S,239065,333
00:36:31,1790181391,36,S,239090,333
00:36:32,1790181392,36,S,239118,333
00:36:33,1790181393,36,S,239143,333
00:36:34,1790181394,36,S,239169,333
00:36:35,1790181395,36,S,239195,333
00:36:36,1790181396,36,S,239219,333
00:36:37,1790181397,36,S,239244,333
00:36:38,1790181398,36,S,239269,333
00:36:39,1790181399,36,S,239293,333
00:36:40,1790181400,36,S,239318,333
00:36:41,1790181401,36,S,239344,333
00:36:42,1790181402,36,S,239368,333
00:36:43,1790181403,36,S,239394,333
00:36:44,1790181404,36,R,239553,333
